"","date","day_of_week","DJ_return","log_volume","log_volatility","train"
"1","1962-12-03","mon",-0.004461,0.032573,-13.1274025527484,TRUE
"2","1962-12-04","tues",0.007813,0.346202,-11.7493047230798,TRUE
"3","1962-12-05","wed",0.003845,0.525306,-11.6656090381915,TRUE
"4","1962-12-06","thur",-0.003462,0.210182,-11.6267724445685,TRUE
"5","1962-12-07","fri",0.000568,0.044187,-11.7281302369481,TRUE
"6","1962-12-10","mon",-0.010824,0.133246,-10.8725263206323,TRUE
"7","1962-12-11","tues",0.000124,-0.011528,-10.9777967678891,TRUE
"8","1962-12-12","wed",0.003358,0.001607,-11.0123598960169,TRUE
"9","1962-12-13","thur",-0.003296,-0.106437,-11.0471080858552,TRUE
"10","1962-12-14","fri",0.004469,-0.138269,-11.0220633934481,TRUE
"11","1962-12-17","mon",-0.00402,-0.049635,-11.0231535227425,TRUE
"12","1962-12-18","tues",-0.008323,-0.043387,-10.7421494107684,TRUE
"13","1962-12-19","wed",0.010659,0.053629,-10.387500860651,TRUE
"14","1962-12-20","thur",0.002393,0.104624,-10.4724268698058,TRUE
"15","1962-12-21","fri",-0.003305,-0.088976,-10.5358019447125,TRUE
"16","1962-12-24","mon",0.002009,-0.176311,-10.6244224606168,TRUE
"17","1962-12-26","wed",0.006049,-0.118011,-10.5751605624308,TRUE
"18","1962-12-27","thur",-0.001659,-0.03438,-10.6686232298485,TRUE
"19","1962-12-28","fri",0.001336,0.083565,-10.7654899296971,TRUE
"20","1962-12-31","mon",0.001028,0.346693,-10.8653050791667,TRUE
"21","1963-01-02","wed",-0.008176,-0.413953,-10.6423013605893,TRUE
"22","1963-01-03","thur",0.016301,0.16862,-9.94286829449334,TRUE
"23","1963-01-04","fri",0.00729,0.328089,-9.93237088895608,TRUE
"24","1963-01-07","mon",-0.000136,0.127959,-10.0376891125298,TRUE
"25","1963-01-08","tues",0.011622,0.321242,-9.84796354026974,TRUE
"26","1963-01-09","wed",-0.00281,0.263888,-9.93685614281269,TRUE
"27","1963-01-10","thur",0.002258,0.140575,-10.0305709780531,TRUE
"28","1963-01-11","fri",0.003117,0.113642,-10.1117136740378,TRUE
"29","1963-01-14","mon",0.006145,0.238402,-10.1187194834191,TRUE
"30","1963-01-15","tues",-0.027577,0.14005,-9.09404555427811,TRUE
"31","1963-01-16","wed",0.017552,0.077311,-8.9334088804923,TRUE
"32","1963-01-17","thur",0.005932,0.28156,-9.00956431842803,TRUE
"33","1963-01-18","fri",-0.000684,0.182834,-9.11449942396332,TRUE
"34","1963-01-21","mon",0.004036,0.028916,-9.20354650265894,TRUE
"35","1963-01-22","tues",0.000429,0.187155,-9.3087033167294,TRUE
"36","1963-01-23","wed",0.00303,0.184594,-9.40287082264784,TRUE
"37","1963-01-24","thur",-0.000871,0.176301,-9.50720971848303,TRUE
"38","1963-01-25","fri",0.00401,0.163308,-9.58881550844529,TRUE
"39","1963-01-28","mon",0.004668,0.148587,-9.65944299697046,TRUE
"40","1963-01-29","tues",0.001229,0.066165,-9.7621760287739,TRUE
"41","1963-01-30","wed",-0.007561,-0.088458,-9.7629135921108,TRUE
"42","1963-01-31","thur",0.006273,0.040821,-9.79504776271299,TRUE
"43","1963-02-01","fri",0.000498,0.035514,-9.89991434405603,TRUE
"44","1963-02-04","mon",-0.001729,-0.119618,-9.99867971930427,TRUE
"45","1963-02-05","tues",-0.001042,-0.023231,-10.1013920552175,TRUE
"46","1963-02-06","wed",0.001789,0.043096,-10.1981201238397,TRUE
"47","1963-02-07","thur",-0.005038,0.016663,-10.2304777659629,TRUE
"48","1963-02-08","fri",0.001221,-0.070667,-10.3312507249551,TRUE
"49","1963-02-11","mon",-0.007648,-0.073511,-10.2548278936614,TRUE
"50","1963-02-12","tues",0.002782,-0.119985,-10.3360366427809,TRUE
"51","1963-02-13","wed",0.007509,0.166714,-10.2648247766034,TRUE
"52","1963-02-14","thur",0.004595,0.29217,-10.3050023733133,TRUE
"53","1963-02-15","fri",0.001765,0.047811,-10.4000704209335,TRUE
"54","1963-02-18","mon",0.004204,0.109113,-10.4429084861849,TRUE
"55","1963-02-19","tues",-0.003096,-0.021372,-10.5123803531325,TRUE
"56","1963-02-20","wed",-0.006969,-0.024994,-10.4367353516203,TRUE
"57","1963-02-21","thur",-0.000616,-0.062097,-10.540659774819,TRUE
"58","1963-02-25","mon",-0.010367,-0.141754,-10.2733160550456,TRUE
"59","1963-02-26","tues",0.000993,-0.145954,-10.3755117818199,TRUE
"60","1963-02-27","wed",-0.006656,-0.145662,-10.3343018537365,TRUE
"61","1963-02-28","thur",-0.011787,-0.043604,-10.0510290876222,TRUE
"62","1963-03-01","fri",-0.004869,-0.09272,-10.0971232737816,TRUE
"63","1963-03-04","mon",0.011035,-0.167947,-9.91851672690824,TRUE
"64","1963-03-05","tues",0.00018,-0.276907,-10.0238042451924,TRUE
"65","1963-03-06","wed",0.001378,-0.333358,-10.1244165577686,TRUE
"66","1963-03-07","thur",0.005002,-0.257751,-10.1627337831275,TRUE
"67","1963-03-08","fri",0.001488,-0.257772,-10.2617360195275,TRUE
"68","1963-03-11","mon",0.002362,-0.313962,-10.3495162510538,TRUE
"69","1963-03-12","tues",0.001749,-0.262888,-10.4443120086761,TRUE
"70","1963-03-13","wed",0.003637,-0.057878,-10.5004285911494,TRUE
"71","1963-03-14","thur",-0.005816,-0.210062,-10.4777834681998,TRUE
"72","1963-03-15","fri",0.003852,-0.247353,-10.5262471014062,TRUE
"73","1963-03-18","mon",-0.004104,-0.286613,-10.5641632835291,TRUE
"74","1963-03-19","tues",-0.002229,-0.301336,-10.6483639119411,TRUE
"75","1963-03-20","wed",0.007501,-0.145229,-10.5199696616806,TRUE
"76","1963-03-21","thur",-0.002292,-0.279592,-10.6039405557455,TRUE
"77","1963-03-22","fri",0.00334,-0.11152,-10.6605718351224,TRUE
"78","1963-03-25","mon",0.000501,-0.141895,-10.7647414807054,TRUE
"79","1963-03-26","tues",0.003253,-0.03971,-10.8159386651916,TRUE
"80","1963-03-27","wed",0.006373,-0.001714,-10.7185343803831,TRUE
"81","1963-03-28","thur",-0.003306,-0.095929,-10.7704730148352,TRUE
"82","1963-03-29","fri",7.3e-05,-0.228421,-10.8758053972361,TRUE
"83","1963-04-01","mon",0.004882,-0.095143,-10.8501168806121,TRUE
"84","1963-04-02","tues",-0.002321,0.019677,-10.9250949121423,TRUE
"85","1963-04-03","wed",0.009078,0.08527,-10.6192280507488,TRUE
"86","1963-04-04","thur",0.009527,0.211949,-10.3791416757974,TRUE
"87","1963-04-05","fri",0.007588,0.200482,-10.2972833130978,TRUE
"88","1963-04-08","mon",0.005112,0.322872,-10.3200529414365,TRUE
"89","1963-04-09","tues",0,0.168708,-10.4254135582106,TRUE
"90","1963-04-10","wed",-0.002382,0.311323,-10.5097416964417,TRUE
"91","1963-04-11","thur",0.005804,0.195305,-10.4864789332134,TRUE
"92","1963-04-15","mon",0.004127,0.31146,-10.5262284609306,TRUE
"93","1963-04-16","tues",-0.000647,0.24611,-10.6298573428912,TRUE
"94","1963-04-17","wed",-0.000943,0.181202,-10.7311416871402,TRUE
"95","1963-04-18","thur",-0.002947,0.09339,-10.7932936199679,TRUE
"96","1963-04-19","fri",0.004958,0.072635,-10.7737739016912,TRUE
"97","1963-04-22","mon",-0.000942,0.17945,-10.8744388205459,TRUE
"98","1963-04-23","tues",0.005568,0.189212,-10.8126601783437,TRUE
"99","1963-04-24","wed",0.003853,0.313432,-10.8393179462849,TRUE
"100","1963-04-25","thur",0.000822,0.159209,-10.9408606318149,TRUE
"101","1963-04-26","fri",-0.00163,0.036303,-11.0296959348191,TRUE
"102","1963-04-29","mon",-0.002863,-0.081212,-11.0804186356704,TRUE
"103","1963-04-30","tues",0.003615,0.084773,-11.0957248217548,TRUE
"104","1963-05-01","wed",0.002741,0.150862,-11.1475374899716,TRUE
"105","1963-05-02","thur",0.001971,0.028046,-11.2233786322651,TRUE
"106","1963-05-03","fri",-0.004183,0.08783,-11.1928642991946,TRUE
"107","1963-05-06","mon",-0.00602,-0.064521,-11.0417231794001,TRUE
"108","1963-05-07","tues",-0.001711,-0.052991,-11.1269884618429,TRUE
"109","1963-05-08","wed",0.008371,0.159566,-10.8075147894012,TRUE
"110","1963-05-09","thur",0.004762,0.240215,-10.7955750598434,TRUE
"111","1963-05-10","fri",0.00184,0.17403,-10.8827335262629,TRUE
"112","1963-05-13","mon",-0.000401,0.104507,-10.9871430536946,TRUE
"113","1963-05-14","tues",-0.004394,0.065829,-10.9731136300462,TRUE
"114","1963-05-15","wed",0.006232,0.238505,-10.8541187254873,TRUE
"115","1963-05-16","thur",-0.002073,0.232095,-10.935071297747,TRUE
"116","1963-05-17","fri",0.002722,-0.016456,-10.9952853129339,TRUE
"117","1963-05-20","mon",-0.006408,0.04659,-10.8601165417836,TRUE
"118","1963-05-21","tues",0.005345,0.210316,-10.8125172099321,TRUE
"119","1963-05-22","wed",-0.001659,0.205643,-10.9028164740636,TRUE
"120","1963-05-23","thur",-0.002022,-0.025747,-10.983799518273,TRUE
"121","1963-05-24","fri",-0.001179,-0.047893,-11.080102680824,TRUE
"122","1963-05-27","mon",-0.003169,-0.184693,-11.1155657839306,TRUE
"123","1963-05-28","tues",-0.000418,-0.154739,-11.2196239611396,TRUE
"124","1963-05-29","wed",0.006317,-0.041642,-11.0392604218884,TRUE
"125","1963-05-31","fri",0.006154,0.040318,-10.911891380338,TRUE
"126","1963-06-03","mon",-0.00095,0.177802,-11.0117738842284,TRUE
"127","1963-06-04","tues",0.000303,0.275247,-11.1165172469523,TRUE
"128","1963-06-05","wed",-0.000771,0.253747,-11.2174426475983,TRUE
"129","1963-06-06","thur",0.001294,0.093386,-11.3090519947801,TRUE
"130","1963-06-07","fri",-0.006155,0.116196,-11.1193001716663,TRUE
"131","1963-06-10","mon",-0.008229,0.029765,-10.8141934089009,TRUE
"132","1963-06-11","tues",0.002634,-0.034146,-10.8819297900708,TRUE
"133","1963-06-12","wed",0.006908,0.136429,-10.7387583620589,TRUE
"134","1963-06-13","thur",-0.002672,0.030233,-10.8082030368259,TRUE
"135","1963-06-14","fri",0.000831,-0.167275,-10.9097752046112,TRUE
"136","1963-06-17","mon",-0.005305,-0.253922,-10.8572319996243,TRUE
"137","1963-06-18","tues",0.00096,-0.143689,-10.9572884389637,TRUE
"138","1963-06-19","wed",0.001307,-0.126369,-11.0518238412627,TRUE
"139","1963-06-20","thur",-0.001376,0.098045,-11.1440005591301,TRUE
"140","1963-06-21","fri",0.002681,-0.072006,-11.1955981862428,TRUE
"141","1963-06-24","mon",-0.00328,-0.196036,-11.2175245098911,TRUE
"142","1963-06-25","tues",-0.002927,-0.087897,-11.2544201752387,TRUE
"143","1963-06-26","wed",-0.010286,8.9e-05,-10.7138775646889,TRUE
"144","1963-06-27","thur",-0.004184,0.007223,-10.7353847476429,TRUE
"145","1963-06-28","fri",0.001203,-0.397922,-10.8333808816762,TRUE
"146","1963-07-01","mon",-0.007854,-0.292426,-10.6405807690227,TRUE
"147","1963-07-02","tues",0.010764,-0.238399,-10.3154133862584,TRUE
"148","1963-07-03","wed",0.006215,-0.10881,-10.2989092648149,TRUE
"149","1963-07-05","fri",0.004322,-0.432001,-10.3444445106571,TRUE
"150","1963-07-08","mon",-0.008114,-0.308079,-10.2449032278409,TRUE
"151","1963-07-09","tues",0.004815,-0.153239,-10.2802873642564,TRUE
"152","1963-07-10","wed",-0.002763,-0.175025,-10.3612281214099,TRUE
"153","1963-07-11","thur",-0.00332,-0.079448,-10.428615975418,TRUE
"154","1963-07-12","fri",-0.002907,-0.190306,-10.5027288115283,TRUE
"155","1963-07-15","mon",-0.006265,-0.2947,-10.4606887579237,TRUE
"156","1963-07-16","tues",-0.001651,-0.384155,-10.5555327137864,TRUE
"157","1963-07-17","wed",-0.003424,-0.111223,-10.6120940143903,TRUE
"158","1963-07-18","thur",-0.005474,-0.171188,-10.5905882499741,TRUE
"159","1963-07-19","fri",-0.002893,-0.275247,-10.6596541952548,TRUE
"160","1963-07-22","mon",-0.00745,-0.172678,-10.5317657665616,TRUE
